Hyperlink,URL,Title,Page Power,Size,Words,Modified,Match Words,Match Percentage,Match Pages,Match Words (with common),Match Percentage (with common),Match Pages (with common),Broken Links Out,Links Out,Links In,Skip Reason,Redirected to
https://eciru.ir/,(home page),پایگاه خبری اقتصادی ایران و روسیه - پایروس ECIRU,50,315,"2,230","10:20, 4 Jul, 2025",613,27%,23,"1,012",45%,35,0,165,245,,
https://eciru.ir/category/اقتصاد,category/اقتصاد,بایگانی‌های اقتصاد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,638,"10:22, 4 Jul, 2025",115,18%,2,554,87%,8,0,74,245,,
https://eciru.ir/category/اقتصاد/اقتصاد-ایران,category/اقتصاد/اقتصاد-ایران,بایگانی‌های اقتصاد ایران - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,129,651,"10:21, 4 Jul, 2025",126,19%,4,549,84%,10,0,77,245,,
https://eciru.ir/category/اقتصاد/اقتصاد-روسیه,category/اقتصاد/اقتصاد-روسیه,بایگانی‌های اقتصاد روسیه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,631,"10:21, 4 Jul, 2025",138,22%,6,579,92%,14,0,76,245,,
https://eciru.ir/category/اقتصاد/اقتصاد-بین-الملل,category/اقتصاد/اقتصاد-بین-الملل,بایگانی‌های اقتصاد بین الملل - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,631,"10:21, 4 Jul, 2025",54,9%,2,501,79%,15,0,78,245,,
https://eciru.ir/category/بازار-سرمایه,category/بازار-سرمایه,بایگانی‌های بازار سرمایه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,126,622,"10:21, 4 Jul, 2025",68,11%,6,490,79%,27,0,78,245,,
https://eciru.ir/category/بازار-سرمایه/طلا-و-ارز,category/بازار-سرمایه/طلا-و-ارز,بایگانی‌های طلا و ارز - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,627,"10:21, 4 Jul, 2025",43,7%,3,469,75%,28,0,77,245,,
https://eciru.ir/category/بازار-سرمایه/ارز-دیجیتال,category/بازار-سرمایه/ارز-دیجیتال,بایگانی‌های ارز دیجیتال - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,129,628,"10:21, 4 Jul, 2025",31,5%,4,450,72%,27,0,80,245,,
https://eciru.ir/category/بازار-سرمایه/بازار-خودرو,category/بازار-سرمایه/بازار-خودرو,بایگانی‌های بازار خودرو - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,613,"10:21, 4 Jul, 2025",31,5%,2,475,77%,13,0,79,245,,
https://eciru.ir/category/بازار-سرمایه/بازار-مسکن,category/بازار-سرمایه/بازار-مسکن,بایگانی‌های بازار مسکن - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,129,623,"10:21, 4 Jul, 2025",31,5%,1,475,76%,7,0,80,245,,
https://eciru.ir/category/بازار-سرمایه/فارکس,category/بازار-سرمایه/فارکس,بایگانی‌های فارکس - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,115,511,"10:21, 4 Jul, 2025",0,0%,0,434,85%,7,0,68,245,,
