Hyperlink,URL,Title,Page Power,Size,Words,Modified,Match Words,Match Percentage,Match Pages,Match Words (with common),Match Percentage (with common),Match Pages (with common),Broken Links Out,Links Out,Links In,Skip Reason,Redirected to
https://abadisparsian.com/,(home page),موسسه رسمی اعزام دانشجو به روسیه | آبادیس پارسیان دانش,30,234,909,"11:54, 4 Jul, 2025",58,6%,1,284,31%,15,0,43,79,,
https://abadisparsian.com/semashko-university/,semashko-university/,https://abadisparsian.com/semashko-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/semashko-university
https://abadisparsian.com/astarakhan-state-university/,astarakhan-state-university/,https://abadisparsian.com/astarakhan-state-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/astarakhan-state-university
https://abadisparsian.com/irkutsk-state-university/,irkutsk-state-university/,https://abadisparsian.com/irkutsk-state-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/irkutsk-state-university
https://abadisparsian.com/bashkir-university/,bashkir-university/,https://abadisparsian.com/bashkir-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/bashkir-university
https://abadisparsian.com/pavlov-university/,pavlov-university/,https://abadisparsian.com/pavlov-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/pavlov-university
https://abadisparsian.com/plekhanov-state-university/,plekhanov-state-university/,https://abadisparsian.com/plekhanov-state-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/plekhanov-state-university
https://abadisparsian.com/piragov-university/,piragov-university/,https://abadisparsian.com/piragov-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/piragov-university
https://abadisparsian.com/tomsk-state-university/,tomsk-state-university/,https://abadisparsian.com/tomsk-state-university,27,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,77,HTTP Header Redirect ,https://abadisparsian.com/tomsk-state-university
https://abadisparsian.com/rudn-university/,rudn-university/,https://abadisparsian.com/rudn-university,31,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,80,HTTP Header Redirect ,https://abadisparsian.com/rudn-university
